!SIL	sil
<UNK>	sil
អន្លៃ	ʔ ɑ n l ɘi
អន្លោច	ʔ ɑ n l oː c
អន្វក្ខរៈ	ʔ ɑ n β̞ a ʔ kʰ a ʔ r a ʔ
អន្វយវាចក	ʔ ɑ n β̞ ɛă ʔ j ɛă ʔ β̞ iɜ c ɑ ʔ
អន្វយ	ʔ ɑ n β̞ ɛă ʔ j ɛă ʔ
អន្វេស	ʔ ɑ n β̞ eː h
អន្សម	ʔ ɑ n s ɑː m
អន្សែ	ʔ ɑ n s aɛ
អន	ʔ ɑː n
អបចាយន	ʔ a ʔ p a ʔ c aː j a ʔ n a ʔ
អបចាយិតា	ʔ a ʔ p a ʔ c aː j i t aː
អបចាយិត	ʔ a ʔ p a ʔ c aː j i t a ʔ
អបណ្ណកប្បដិបទា	ʔ a ʔ p a n n a ʔ k a p p a ʔ d e p a ʔ t iɜ
អបណ្ណ	ʔ a ʔ p a n n a ʔ
អបទេស	ʔ a ʔ p a ʔ t eː h
អបមង្គល	ʔ a ʔ p a ʔ m ʋ ŋ k ʋ l
អបមារ	ʔ a ʔ p a ʔ m aː
អបយស	ʔ a ʔ p a ʔ j uɜ h
អបរកាល	ʔ a ʔ p a ʔ r a ʔ k aː l
អបរគោយាន	ʔ a ʔ p a ʔ r a ʔ k oː j iɜ n
អបរណ្ណជាតិ	ʔ a ʔ p a ʔ r a n n a ʔ c iɜ t
អបរណ្ណ	ʔ a ʔ p a ʔ r a n n a ʔ
អបរលោក	ʔ a ʔ p a ʔ r a ʔ l oː k
អបរសម័យ	ʔ a ʔ p a ʔ r a ʔ s a ʔ m ai
អបរាជិត	ʔ a ʔ p a ʔ r aː c i t
អបរាជ័យ	ʔ a ʔ p a ʔ r aː c ɘi
អបរាធ	ʔ a ʔ p a ʔ r aː t
អបរិមាណ	ʔ a ʔ p a ʔ r e m aː n
អបរិយោសាន	ʔ a ʔ p a ʔ r e j aɔ s aː n
អបរូបា	ʔ a ʔ p a ʔ r uː p aː
អបរូប	ʔ a ʔ p a ʔ r uː p
អបលក្ខណ៍	ʔ a ʔ p a ʔ l ɛă ʔ
អបលាភា	ʔ a ʔ p a ʔ l iɜ pʰ iɜ
អបលាភ	ʔ a ʔ p a ʔ l iɜ p
អបលោកន	ʔ a ʔ p a ʔ l oː k a ʔ n a ʔ
អបលោក	ʔ a ʔ p a ʔ l oː k
អបលោភា	ʔ a ʔ p a ʔ l oː pʰ iɜ
អបលោភ	ʔ a ʔ p a ʔ l oː p
អបវាទ	ʔ a ʔ p a ʔ β̞ iɜ t
អបហារ	ʔ a ʔ p a ʔ h aː
អបហាស	ʔ a ʔ p a ʔ h aː h
អបអម	ʔ ɑː p ʔ ɑː m
អបអរសាទរ	ʔ ɑː p ʔ ɑː s aː t ɔː
អបអរសាទ	ʔ ɑː p ʔ ɑː s aː t
អបអរ	ʔ ɑː p ʔ ɑː
អបាករណ៍	ʔ a ʔ p aː k ɑː
អបាចី	ʔ a ʔ p aː c ɜi
អបាទក	ʔ a ʔ b aː t ɛă ʔ k a ʔ
អបាទ	ʔ a ʔ b aː t
អបាយភូមិ	ʔ a ʔ b aː j a ʔ pʰ uː m
អបាយ	ʔ a ʔ b aː j
អបុញ្ញលាភ	ʔ a ʔ b o ɲ ɲ a ʔ l iɜ p
អបុញ្ញាភិសង្ខារ	ʔ a ʔ b o ɲ ɲ aː pʰ i s ɑ ŋ kʰ aː
អបុញ្ញា	ʔ a ʔ b o ɲ ɲ aː
អបុញ្ញ	ʔ a ʔ b o ɲ ɲ a ʔ
អបុត្តកោ	ʔ a ʔ b o t t a ʔ k aɔ
អបុត្តក	ʔ a ʔ b o t t a ʔ k a ʔ
អបុត្តិកា	ʔ a ʔ b o t t e k aː
អបុត្ត	ʔ a ʔ b o t
អបុនប្បុនក្កម្ម	ʔ a ʔ p o n a p p o n a ʔ k a m
អបេតវិញ្ញាណ	ʔ a ʔ p ɛe t a ʔ β̞ i ɲ ɲ iɜ n
អបេត	ʔ a ʔ p ɛe t a ʔ
អបោគណ្ឌ	ʔ a ʔ p aɔ k oă n
អប៉ី	ʔ a ʔ p ɜi
អប់រំ	ʔ ɑ p r ʋ m
អប់	ʔ ɑ p
អប្បការ	ʔ a p p a ʔ k aː
អប្បច្ចយភាព	ʔ a p p a c c a ʔ j a ʔ pʰ iɜ p
អប្បច្ចយ	ʔ a p p a c c ai
អប្បដិ	ʔ a p p a ʔ d e
អប្បនា	ʔ a p p a ʔ n aː
អប្បបរមា	ʔ a p p a ʔ p a ʔ r a ʔ m aː
អប្បបរិមា	ʔ a p p a ʔ p a ʔ r e m aː
អប្បមាណ	ʔ a p p a ʔ m aː n
អប្បមាទ	ʔ a p p a ʔ m aː t
អប្បមេយ្យ	ʔ a p p a ʔ m ai
អប្បលក្ខណ៍	ʔ a p p a ʔ l ɛă ʔ
អប្បលោហិត	ʔ a p p a ʔ l oː h e t
អប្បវ័យ	ʔ a p p a ʔ β̞ ɘi
អប្បសាន្ត	ʔ ɑ p p s aː n
អប្បិច្ឆា	ʔ a p p e c cʰ aː
អប្បិច្ឆោ	ʔ a p p e cʰ aɔ
អប្បិច្ឆ	ʔ a p p e c cʰ a ʔ
អប្បិយ	ʔ a p p e j a ʔ
អប្បេសក្ខ	ʔ a p p ɛe s a ʔ
អប្បោទក	ʔ a p p aɔ t ɛă ʔ k a ʔ
អប្ប	ʔ a p p a ʔ
អប្ផោដនសព្ទ	ʔ a p pʰ aɔ d a ʔ n a ʔ s a p
អប្ផោដន	ʔ a p pʰ aɔ d a ʔ n a ʔ
អប្សរា	ʔ a p b s a ʔ r aː
អប្សរ	ʔ a p b s ɑː
អប្សាន្ត	ʔ a p b s aː n
អប	ʔ ɑː p
អផល	ʔ a ʔ pʰ a ʔ l a ʔ
អផាសុ	ʔ a ʔ pʰ aː s o
អផ្ទក់	ʔ a ʔ pʰ t ɔ ʔ
អផ្ទង់	ʔ a ʔ pʰ t ʋ ŋ
អផ្ទាញ	ʔ a ʔ pʰ t iɜ ɲ
អផ្សាន	ʔ ɑ p pʰ s aː n
អពទ្ធសីមា	ʔ a ʔ p oă t tʰ ɛă ʔ s ɜi m aː
អពទ្ធ	ʔ a ʔ p oă t
អពពៈ	ʔ a ʔ p ɛă ʔ p ɛă ʔ
អពមង្គល	ʔ a ʔ p ɛă ʔ m ʋ ŋ k ʋ l
អពយព	ʔ ɑ p pʰ j ʋ p
អពលានុភាព	ʔ a ʔ p ɛă ʔ l iɜ n ʋ pʰ iɜ p
អពលា	ʔ a ʔ p ɛă ʔ l aː
អពល	ʔ a ʔ p ʋ l
អពុទ្ធិ	ʔ a ʔ p ʋ t tʰ i
អព័ទ្ធ	ʔ a ʔ p oă t
អព្ភក្ខាន	ʔ a p pʰ ɛă ʔ kʰ aː n
អព្ភន្តរ	ʔ a p pʰ oă n d ɑː
អព្ភាន	ʔ a p pʰ iɜ n
អព្ភាស	ʔ a p pʰ iɜ h
អព្ភា	ʔ a p pʰ iɜ
អព្ភូត	ʔ a p pʰ uː t
អព្ភោកាសិក	ʔ a p pʰ oː k aː s e k
អព្ភោកាស	ʔ a p pʰ oː k aː h
អព្ភ	ʔ a p pʰ ɛă ʔ
អព្រហ្មចរិយ	ʔ a ʔ p r ʋ m m ɛă ʔ c a ʔ r e j a ʔ
អព្រហ្មចារិនី	ʔ a ʔ p r ɛă ʔ m ɛă ʔ c aː r e n iː
អព្រហ្មចារី	ʔ a ʔ p r ɛă ʔ m ɛă ʔ c aː r ɜi
អព្រហ្មចារ្យ	ʔ a ʔ p r ɛă ʔ m ɛă ʔ c aː
អព្រហ្ម	ʔ a ʔ p r ɛă ʔ m ɛă ʔ
អព្វុទ	ʔ a p p ʋ t
អភព្វា	ʔ a ʔ pʰ oă p p iɜ
អភព្វ	ʔ a ʔ pʰ oă p
អភយូ	ʔ a ʔ pʰ ɛă ʔ j uː
អភយ	ʔ a ʔ pʰ ɛă ʔ j ɛă ʔ
អភាព	ʔ a ʔ pʰ iɜ p
អភិជន	ʔ a ʔ pʰ i c ʋ n
អភិជ្ឈា	ʔ a ʔ pʰ i c cʰ iɜ
អភិញ្ញាណ	ʔ a ʔ pʰ i ɲ ɲ iɜ n
អភិញ្ញា	ʔ a ʔ pʰ i ɲ ɲ iɜ
អភិណ្ហ	ʔ a ʔ pʰ i n h a ʔ
អភិទោស	ʔ a ʔ pʰ i t oː h
អភិទ្រោះ	ʔ a ʔ pʰ i t r uɜ h
អភិធជមហារដ្ឋគុរុ	ʔ a ʔ pʰ i tʰ ɛă ʔ c ɛă ʔ m h aː r oă t k ʋ r ʋ
អភិធម្មបិដក	ʔ a ʔ pʰ i tʰ oă m b ɜi d ɑ ʔ
អភិធម្ម	ʔ a ʔ pʰ i tʰ oă m
អភិធានសព្ទ	ʔ a ʔ pʰ i tʰ iɜ n ɛă ʔ s a p
អភិធាន	ʔ a ʔ pʰ i tʰ iɜ n
អភិនន្ទនភាព	ʔ a ʔ pʰ i n ʋ n t ɛă ʔ n ɛă ʔ pʰ iɜ p
អភិនិវេស	ʔ a ʔ pʰ i n i β̞ eː h
អភិនិស្ក្រមណ៍	ʔ a ʔ pʰ i n i h s k r ɑ m
អភិនីហារសម្បន្ន	ʔ a ʔ pʰ i n iː h aː r ɛă ʔ s ɑ m b a n
អភិនីហារ	ʔ a ʔ pʰ i n iː h aː
អភិនី	ʔ a ʔ pʰ i n iː
អភិនេស្ក្រមណ៍	ʔ a ʔ pʰ i n eː h s k r ɑ m
អភិនេស្ក្រម៍	ʔ a ʔ pʰ i n eː h
អភិបាលខែត្រ	ʔ a ʔ pʰ i b aː l kʰ aɛ t
អភិបាលដ្ឋាន	ʔ a ʔ pʰ i b aː l a t tʰ aː n
អភិបាល	ʔ a ʔ pʰ i b aː l
អភិមង្គល៍	ʔ a ʔ pʰ i m ʋ ŋ
អភិមង្គល	ʔ a ʔ pʰ i m ʋ ŋ k ʋ l
អភិរដ្ឋមន្ត្រី	ʔ a ʔ pʰ i r oă t m ʋ n t r ɜi
អភិរដ្ឋ	ʔ a ʔ pʰ i r oă t
អភិរតិ	ʔ a ʔ pʰ i r ɛă ʔ t e
អភិរម្យ	ʔ a ʔ pʰ i r ʋ m
អភិរម	ʔ a ʔ pʰ i r ʋ m
អភិរាជ	ʔ a ʔ pʰ i r iɜ c
អភិរាម	ʔ a ʔ pʰ i r iɜ m
អភិរាស្ដ្រ	ʔ a ʔ pʰ i r iɜ h
អភិរាស្ត្រមន្ត្រី	ʔ a ʔ pʰ i r iɜ h m ʋ n t r ɜi
អភិរូហ៍	ʔ a ʔ pʰ i r uː
អភិរំ	ʔ a ʔ pʰ i r ʋ m
អភិលក្ខិតកាល	ʔ a ʔ pʰ i l ɛă ʔ kʰ e t a ʔ k aː l
អភិលក្ខិត	ʔ a ʔ pʰ i l a ʔ kʰ e t a ʔ
អភិលាស	ʔ a ʔ pʰ i l iɜ h
អភិវឌ្ឍន៍	ʔ a ʔ pʰ i β̞ oă t
អភិវឌ្ឍ	ʔ a ʔ pʰ i β̞ oă t
អភិវន្ទន៍	ʔ a ʔ pʰ i β̞ oă n
អភិវន្ទ	ʔ a ʔ pʰ i β̞ oă n
អភិវុឌ្ឍករណ៍	ʔ a ʔ pʰ i β̞ ʋ tʰ a ʔ k ɑː
អភិសមាចារិកវត្ត	ʔ a ʔ pʰ i s a ʔ m aː c aː r e k a ʔ β̞ oă t
អភិសមាចារិក	ʔ a ʔ pʰ i s a ʔ m iɜ c aː r e k
អភិសមាចារ	ʔ a ʔ pʰ i s a ʔ m aː c aː
អភិសម័យ	ʔ a ʔ pʰ i s a ʔ m ai
អភិសម្ពោធិ	ʔ a ʔ pʰ i s ɑ m p oː tʰ i
អភិសិត្តរាជ	ʔ a ʔ pʰ i s e t t a ʔ r iɜ c
អភិសិត្ត	ʔ a ʔ pʰ i s e t
អភិសោធន៍	ʔ a ʔ pʰ i s aɔ t
អភិសោធ	ʔ a ʔ pʰ i s aɔ t
អភិ	ʔ a ʔ pʰ i
អភូតវាទិន	ʔ a ʔ pʰ uː t β̞ iɜ t i n
អភូត	ʔ a ʔ pʰ uː t
អភេជ្ជរូប	ʔ a ʔ pʰ eː c c ɛă ʔ r uː p
អភេទ	ʔ a ʔ pʰ eː t
អភ័ព្វ	ʔ a ʔ pʰ oă p
អភ័យទាន	ʔ a ʔ pʰ ɘi t iɜ n
អភ័យទោស	ʔ a ʔ pʰ ɘi t oː h
អភ័យ	ʔ a ʔ pʰ ɘi
អភ្រំសៈ	ʔ a p pʰ r oă m s a ʔ
អមគម	ʔ a ʔ m ɛă ʔ k ʋ m
អមគាង	ʔ ɑː m k iɜ ŋ
អមច្ចា	ʔ a ʔ m a c c aː
អមតបទ	ʔ a ʔ m a ʔ t a ʔ b ɑ t
អមតៈ	ʔ a ʔ m a ʔ t a ʔ
អមត្តញ្ញុតា	ʔ a ʔ m a t t a ɲ ɲ ʋ t aː
អមត្តញ្ញូ	ʔ a ʔ m a t t a ɲ ɲ uː
អមត	ʔ a ʔ m a ʔ t a ʔ
អមនុស្សធម៌	ʔ a ʔ m n ʋ h s a ʔ tʰ oa
អមនុស្ស	ʔ a ʔ m n ʋ h
អមរកញ្ញា	ʔ a ʔ m a ʔ r a ʔ k a ɲ ɲ aː
អមរគោយាន	ʔ a ʔ m a ʔ r a ʔ k oː j iɜ n
អមរា	ʔ a ʔ m a ʔ r aː
អមរិន្ទ	ʔ a m a ʔ r i n
អមរ	ʔ a ʔ m a ʔ r a ʔ
អមលាំង	ʔ ɑː m l ɛă ŋ
អមាវសី	ʔ a ʔ m aː β̞ ɛă ʔ s ɜi
អមាវ	ʔ a ʔ m aː β̞ a ʔ
អមិដា	ʔ a ʔ m i d aː
អមិតាភៈ	ʔ a ʔ m i t aː pʰ ɛă ʔ
អមិតាយុស	ʔ a ʔ m i t aː j ʋ h
អមិតា	ʔ a ʔ m i t aː
អមិត្តតាបនា	ʔ a ʔ m i t t a ʔ t aː b a ʔ n aː
អមិត្ត	ʔ a ʔ m i t
អមិត	ʔ a ʔ m i t
អមូលកែ	ʔ a ʔ m uː l ɛă ʔ k aɛ
អមូល	ʔ a ʔ m uː l
អមោឃ	ʔ a ʔ m oː k
អមោហៈ	ʔ a ʔ m oː h a ʔ
អម្ចត់	ʔ ɑ m m c ɑ t
អម្ចាស់	ʔ ɑ m m c a h
អម្នេញ	ʔ ɑ m m n eː ɲ
អម្បាញ់មិញ	ʔ ɑ m b a ɲ m i ɲ
អម្បាញ់	ʔ ɑ m b a ɲ
អម្បាយ	ʔ ɑ m b aː j
អម្បាលម៉ាន	ʔ ɑ m b aː l m aː n
អម្បាល	ʔ ɑ m b aː l
អម្បិញ	ʔ ɑ m b e ɲ
អម្បូរភាសា	ʔ ɑ m b oʊ r pʰ iɜ s aː
អម្បូរ	ʔ ɑ m b oʊ
អម្បោស	ʔ ɑ m b aɔ h
អម្បោះ	ʔ ɑ m b ɑ h
អម្ពកា	ʔ ɑ m p ɛă ʔ k aː
អម្ពរ	ʔ ɑ m p ɔː
អម្ពាលា	ʔ ɑ m p iɜ l iɜ
អម្ពា	ʔ ɑ m p iɜ
អម្ពិលទឹក	ʔ ɑ m p i l t ɘ k
អម្ពិល	ʔ ɑ m p i l
អម្ពុះ	ʔ ɑ m p ʋ h
អម្ពុ	ʔ ɑ m p ʋ
អម្ព	ʔ ɑ m p ɛă ʔ
អម្ភោជិនី	ʔ ɑ m pʰ oː c i n iː
អម្ភោទ	ʔ ɑ m pʰ aɔ t
អម្ភោធិ	ʔ ɑ m pʰ oː tʰ i
អម្ភោ	ʔ ɑ m pʰ oː
អម្ភ័ស	ʔ ɑ m pʰ oă h
អម្មា	ʔ a m m aː
អម្រស់អម្រ	ʔ ɑ m r ɑ h ʔ ɑ m r ɑː
អម្រស់	ʔ ɑ m r ɑ h
អម្រាម	ʔ ɑ m r iɜ m
អម្រឹត	ʔ ɑ m r ɜ t
អម្រ	ʔ ɑ m r ɑː
អម្លុងពេល	ʔ ɑ m l o ŋ p eː l
អម	ʔ ɑː m
អយនកាល	ʔ a ʔ j a ʔ n a ʔ k aː l
អយស្កម្ភ	ʔ a ʔ j a ʔ s k ɑ m
អយស្កាន្ត	ʔ a ʔ j a h s k aː n
អយស្ការ	ʔ a ʔ j a h s k aː
អយស្កុម្ភ	ʔ a ʔ j a h s k o m
អយស្ទ័រ	ʔ ɑː j s t oa
អយស្ម័យយាន	ʔ a ʔ j a h s m ai j iɜ n
អយស្ម័យ	ʔ a ʔ j a h s m ai
អយីដា	ʔ a ʔ j iː d aː
អយុត្តិធម៌	ʔ a ʔ j ʋ t t e tʰ oa
អយុត្ត	ʔ a ʔ j ʋ t
អយុទ្ធ	ʔ a ʔ j ʋ t
អយុធ្យា	ʔ a ʔ j ʋ t tʰ j iɜ
អយោគិន	ʔ a ʔ j oː k i n
អយោគី	ʔ a ʔ j oː k iː
អយោគុឌ	ʔ a ʔ j oː k ʋ t
អយោធាតុ	ʔ a ʔ j oː tʰ iɜ t
អយោធិន	ʔ a ʔ j oː tʰ i n
អយោធ្យា	ʔ a ʔ j oː tʰ j iɜ
អយោធ	ʔ a ʔ j oː t
អយោនិសោមនសិការ	ʔ a ʔ j oː n i s aɔ m n ɛă ʔ s e k aː
អយោម័យ	ʔ a ʔ j oː m ai
អយោ	ʔ a ʔ j oː
អយ្យការ	ʔ ai j a ʔ k aː
អយ្យកា	ʔ ai j a ʔ k aː
អយ្យកោ	ʔ ai j a ʔ k aɔ
អយ្យក	ʔ ai j a ʔ k a ʔ
អយ្យបុត្រ	ʔ ai j a ʔ b o t
អយ្យា	ʔ ai j aː
អយ្យ	ʔ ai j a ʔ
អយ	ʔ ɑː j
អរក្ខកម្ម	ʔ a ʔ r a ʔ kʰ a ʔ k a m
អរក្ខ	ʔ a ʔ r ɛă ʔ
អរចេស្ពេសល	ʔ ɑː c ɛe s p ɛe s ɑː l
អរឆាត	ʔ ɑː cʰ aː t
អរជុន	ʔ ɑː c ʋ n
អរជូន	ʔ ɑː c uː n
អរជេស្ពេសល	ʔ ɑː c eː s p ɛe s ɑː l
អរញ្ញិក	ʔ a ʔ r a ɲ ɲ e k
អរញ្ញ	ʔ a ʔ r a ɲ
អរណាស់	ʔ ɑː n a h
អរណី	ʔ a ʔ r a ʔ n ɜi
អរណ្យ	ʔ a ʔ r a n
អរពិន្ទ	ʔ a ʔ r a ʔ p i n
អរព្រះគុណ	ʔ ɑː p r ɛă h k ʋ n
អរភិតអរភ័យ	ʔ ɑː pʰ i t ʔ ɑː pʰ ɘi
អរម៉ូន	ʔ ɑː m oʊ n
អរម៉ូ	ʔ ɑː m oʊ
អរសភាព	ʔ a ʔ r a ʔ s a ʔ pʰ iɜ p
អរសរូប	ʔ a ʔ r a ʔ s a ʔ r uː p
អរហត្តផល	ʔ a ʔ r a ʔ h a t t a ʔ pʰ ɑ l
អរហត្ត	ʔ a ʔ r a ʔ h a t
អរហទ្ធជ	ʔ a ʔ r a ʔ h a t tʰ ɛă ʔ c ɛă ʔ
អរហទ្ធជ	ʔ a ʔ r a ʔ h a t tʰ ʋ c
អរហន្តា	ʔ a ʔ r a ʔ h ɑ n t aː
អរហន្ត	ʔ a r a ʔ h ɑ n
អរហា	ʔ a ʔ r a ʔ h aː
អរហំ	ʔ a ʔ r a ʔ h a ŋ
អរាជក	ʔ a ʔ r iɜ c ɔ ʔ
អរិន្ទ	ʔ a ʔ r i n
អរិភាព	ʔ a ʔ r i pʰ iɜ p
អរិយក	ʔ a ʔ r e j ɛă ʔ k a ʔ
អរិយធម៌	ʔ a ʔ r e j ɛă ʔ tʰ oa
អរិយវិមុត្តិ	ʔ a ʔ r e j ɛă ʔ β̞ i m ʋ t
អរិយសច្ច	ʔ a ʔ r ɜi j ɛă ʔ s a c c a ʔ
អរិយសមាធិ	ʔ a ʔ r e j ɛă ʔ s a ʔ m aː tʰ i
អរិយសីល	ʔ a ʔ r e j ɛă ʔ s e l
អរិយុ	ʔ a ʔ r e j ʋ
អរិយៈ	ʔ a ʔ r e j ɛă ʔ
អរិយ	ʔ a ʔ r ɜi
អរិ	ʔ a ʔ r i
អរឹស	ʔ a ʔ r ɘ h
អរុណវតី	ʔ a ʔ r ʋ n a ʔ β̞ ɛă ʔ t ɜi
អរុណ	ʔ a ʔ r ʋ n
អរូបិយ	ʔ a ʔ r uː p ɜi
អរូបីកម្ម	ʔ a ʔ r uː p ɜi k a m
អរូបី	ʔ a ʔ r uː p ɜi
អរូប	ʔ a ʔ r uː p
អរេនថល	ʔ ɑː r eː n tʰ ɑː l
អរេ	ʔ ɑː r eː
អរោគ	ʔ a ʔ r oː k
អរ	ʔ ɑː
អលក្ខិនី	ʔ a ʔ l ɛă ʔ kʰ e n ɜi
អលក្ខី	ʔ a ʔ l ɛă ʔ kʰ ɜi
អលង្កត	ʔ a ʔ l ʋ ŋ k ʋ t
អលង្ករណ៍	ʔ a ʔ l ʋ ŋ k ɑː
អលង្ការ	ʔ a ʔ l a ŋ k aː
អលង្ក្រឹត	ʔ a ʔ l ʋ ŋ k r ɜ t
អលជ្ជាភាព	ʔ a ʔ l a c c iɜ pʰ iɜ p
អលជ្ជិតា	ʔ a ʔ l a c c i t aː
អលជ្ជិនី	ʔ a ʔ l a c c i n iː
អលជ្ជី	ʔ a ʔ l a c c iː
អលសភាព	ʔ a ʔ l a ʔ s a ʔ pʰ iɜ p
អលាភា	ʔ a ʔ l iɜ pʰ iɜ
អលាភោ	ʔ a ʔ l iɜ pʰ oː
អលាភ	ʔ a ʔ l iɜ p
អលិង្គ	ʔ a ʔ l i ŋ
អលោភោ	ʔ a ʔ l oː pʰ oː
អលោភ	ʔ a ʔ l oː p
អលោហៈ	ʔ a ʔ l oː h a ʔ
អល័ង្កា	ʔ a ʔ l a ŋ k aː
អល្លោ	ʔ a l l oː
អល	ʔ ɑː l
អវកដ	ʔ a ʔ β̞ ɛă ʔ k ɑ t
អវកាស	ʔ a ʔ β̞ ɛă ʔ k aː h
អវកុដារ	ʔ a ʔ β̞ ɛă ʔ k o d aː
អវគមន៍	ʔ a ʔ β̞ ɛă ʔ k ʋ m
អវគ្គ	ʔ a ʔ β̞ ɛă ʔ
អវគ្រហៈ	ʔ a ʔ β̞ ɛă ʔ k r ɛă ʔ h a ʔ
អវគ្រោះ	ʔ a ʔ β̞ ɛă ʔ k r uɜ h
អវចរ	ʔ a ʔ β̞ ɛă ʔ c ɑː
អវជាត	ʔ a ʔ β̞ ɛă ʔ c iɜ t
អវជ័យ	ʔ a ʔ β̞ ɛă ʔ c ɘi
អវជ្ឈាន	ʔ a ʔ β̞ ɛă c cʰ iɜ n
អវតារ	ʔ a ʔ β̞ ɛă ʔ t aː
អវត្ដមាន	ʔ a ʔ β̞ oă t t a ʔ m iɜ n
អវត្តមាន	ʔ a ʔ β̞ oă t t a ʔ m iɜ n
អវទាន	ʔ a ʔ β̞ ɛă ʔ t iɜ n
អវធាន	ʔ a ʔ β̞ ɛă ʔ tʰ iɜ n
អវន្ទីយ	ʔ a ʔ β̞ oă n t iː
អវមាន	ʔ a ʔ β̞ ɛă ʔ m iɜ n
អវយវៈ	ʔ a ʔ β̞ ɛă ʔ j ɛă ʔ β̞ ɛă ʔ
អវរុទ្ធា	ʔ a ʔ β̞ ɛă ʔ r ʋ t tʰ iɜ
អវរុទ្ធ	ʔ a ʔ β̞ ɛă ʔ r ʋ t
អវលោកនៈ	ʔ a ʔ β̞ ɛă ʔ l oː k a ʔ n a ʔ
អវលោកិតេស្វរ	ʔ a ʔ β̞ ɛă ʔ l oː k e t ɛe s β̞ a ʔ r a ʔ
អវលោកេស្វរ	ʔ a ʔ β̞ ɛă ʔ l oː k e s β̞ a ʔ r a ʔ
អវសរ	ʔ a ʔ β̞ ɛă ʔ s ɑː
អវសាន	ʔ a ʔ β̞ ɛă ʔ s aː n
អវសិដ្ឋ	ʔ a ʔ β̞ ɛă ʔ s e t
អវសេស	ʔ a ʔ β̞ ɛă ʔ s ɛe h
អវស្រ័យ	ʔ a ʔ β̞ ɛă ʔ s r ai
អវហារ	ʔ a ʔ β̞ ɛă ʔ h aː
អវាចី	ʔ a ʔ β̞ aː c ɜi
អវាដ	ʔ a ʔ β̞ aː t
អវាសែ	ʔ a ʔ β̞ aː s aɛ
អវិចី	ʔ a ʔ β̞ i c ɜi
អវិជ្ជន្ធការ	ʔ a ʔ β̞ i c c oă n tʰ ɛă ʔ
អវិជ្ជមាន	ʔ a ʔ β̞ i c c ɛă ʔ m iɜ n
អវិជ្ជា	ʔ a ʔ β̞ i c c iɜ
អវិញ្ញាណក	ʔ a ʔ β̞ i ɲ ɲ iɜ n a ʔ k a ʔ
អវិញ្ញូ	ʔ a ʔ β̞ i ɲ ɲ uː
អវិនយ	ʔ a ʔ β̞ i n ɛă ʔ j ɛă ʔ
អវិនិច្ឆ័យ	ʔ a ʔ β̞ i n i c cʰ ai
អវិន័យ	ʔ a ʔ β̞ i n ɘi
អវិរុទ្ធ	ʔ a ʔ β̞ i r ʋ t
អវិរូឡ្ហ	ʔ a ʔ β̞ i r uː l h a ʔ
អវិរោធនៈ	ʔ a ʔ β̞ i r oː tʰ ɛă ʔ n ɛă ʔ
អវិរោធ	ʔ a ʔ β̞ i r oː t
អវិសារទភាព	ʔ a ʔ β̞ i s aː r a ʔ t ɛă ʔ pʰ iɜ p
អវិសារទា	ʔ a ʔ β̞ i s aː r a ʔ t iɜ
អវិសារទ	ʔ a ʔ β̞ i s aː r a ʔ t ɛă ʔ
អវិសារ	ʔ a ʔ β̞ i s aː
អវិស្សាសិកា	ʔ a ʔ β̞ i h s aː s e k aː
អវិស្សាសិក	ʔ a ʔ β̞ i h s aː s e k
អវិស្សា	ʔ a ʔ β̞ i h s aː
អវិហា	ʔ a ʔ β̞ iː h aː
អវិហិង្សា	ʔ a ʔ β̞ iː h e ŋ s aː
អវីចី	ʔ a ʔ β̞ iː c ɜi
អវីតិក្កម	ʔ a ʔ β̞ iː t e ʔ k a ʔ m a ʔ
អវីរៈ	ʔ a ʔ β̞ iː r ɛă ʔ
អវី	ʔ a ʔ β̞ iː
អវែ	ʔ a ʔ β̞ ɛː
អវៈយវៈ	ʔ a ʔ β̞ a ʔ j ɛă ʔ β̞ ɛă ʔ
អសកម្មភាព	ʔ a ʔ s a ʔ k a m m a ʔ pʰ iɜ p
អសកម្ម	ʔ a ʔ s a ʔ k a m
អសកល	ʔ a ʔ s a ʔ k ɑ l
អសង្ខតធម៌	ʔ a ʔ s ɑ ŋ kʰ a ʔ t a ʔ tʰ oa
អសង្ខតធាតុ	ʔ a ʔ s ɑ ŋ kʰ a ʔ t a ʔ tʰ iɜ t
អសង្ខត	ʔ a ʔ s ɑ ŋ kʰ a ʔ t a ʔ
អសង្ខេយ្យ	ʔ a ʔ s ɑ ŋ kʰ ai
អសង្ខៃយ	ʔ a ʔ s ɑ ŋ kʰ ai
អសង្ហារិមៈ	ʔ a ʔ s ɑ ŋ h aː r i m ɛă ʔ
អសង្ហារិម	ʔ a ʔ s ɑ ŋ h aː r i m
អសញ្ញកម្ម	ʔ a ʔ s a ɲ ɲ a ʔ k a m
អសញ្ញភាព	ʔ a ʔ s a ɲ ɲ a ʔ pʰ iɜ p
អសញ្ញី	ʔ a ʔ s a ɲ ɲ iː
អសញ្ញ	ʔ a ʔ s a ɲ
អសទិសទាន	ʔ a ʔ s a ʔ t i s a ʔ t iɜ n
អសទិស	ʔ a ʔ s a ʔ t ɘ h
អសទ្ធម្ម	ʔ a ʔ s aː t tʰ oă m
អសនី	ʔ a ʔ s a ʔ n iː
អសនៈ	ʔ a ʔ s a ʔ n a ʔ
អសប្បុរស	ʔ a ʔ s ɑ p b o r ɑ h
